,count_bindings_in_miRNA,pair_state_No,mFE,hairpin_count,stem_length,distanceToloop,percentage_PairedInMiRNA,pair_state_Yes,binding_count,armType_loop,interiorLoopCount,index,clusterName,chrom,start,end,miRNA,sample,annotation
51,18,1,-33.9,1,30,2,0.86,0,30,0,6,51,mapped_mirna_ERR038410:miRCluster_349_21:chr14:101022071_101022091+,14,101022071,101022091,True,ERR038410,Hsa-Mir-154-P7_pri
52,15,1,-28.7,1,29,5,0.79,0,29,0,5,52,mapped_mirna_ERR038410:miRCluster_350_22:chr14:101023339_101023360+,14,101023339,101023360,True,ERR038410,Hsa-Mir-154-P13-v2_pri
53,21,1,-46.6,1,33,1,1.0,0,33,0,2,53,mapped_mirna_ERR038410:miRCluster_351_23:chr14:101023799_101023821+,14,101023799,101023821,True,ERR038410,Hsa-Mir-154-P2-v1_pri
54,19,1,-36.3,1,33,4,0.86,0,33,0,5,54,mapped_mirna_ERR038410:miRCluster_354_23:chr14:101033804_101033826+,14,101033804,101033826,True,ERR038410,Hsa-Mir-154-P19_pri
55,18,1,-33.9,1,32,2,0.86,0,32,0,4,55,mapped_mirna_ERR038410:miRCluster_355_21:chr14:101039732_101039752+,14,101039732,101039752,True,ERR038410,Hsa-Mir-376-P4_pri
56,19,1,-33.2,1,36,7,0.9,0,36,0,5,56,mapped_mirna_ERR038410:miRCluster_356_21:chr14:101040118_101040138+,14,101040118,101040138,True,ERR038410,Hsa-Mir-376-P3_pri
57,16,1,-29.7,1,28,4,0.8,0,28,0,6,57,mapped_mirna_ERR038410:miRCluster_357_21:chr14:101040269_101040289+,14,101040269,101040289,True,ERR038410,Hsa-Mir-154-P23_pri
58,18,1,-33.0,1,32,4,0.86,0,32,0,4,58,mapped_mirna_ERR038410:miRCluster_358_21:chr14:101040497_101040517+,14,101040497,101040517,True,ERR038410,Hsa-Mir-376-P2_pri
59,17,1,-26.7,1,32,7,0.81,0,32,0,6,59,mapped_mirna_ERR038410:miRCluster_359_21:chr14:101040825_101040845+,14,101040825,101040845,True,ERR038410,Hsa-Mir-376-P1_pri
60,15,1,-34.6,1,29,2,0.68,0,29,0,3,60,mapped_mirna_ERR038410:miRCluster_361_23:chr14:101046505_101046527+,14,101046505,101046527,True,ERR038410,Hsa-Mir-154-P17_pri
61,20,1,-29.7,1,37,5,0.91,0,37,0,5,61,mapped_mirna_ERR038410:miRCluster_362_25:chr14:101047369_101047393+,14,101047369,101047393,True,ERR038410,Hsa-Mir-154-P21_pri
62,17,1,-29.7,1,32,5,0.81,0,32,0,7,62,mapped_mirna_ERR038410:miRCluster_363_21:chr14:101047949_101047969+,14,101047949,101047969,True,ERR038410,Hsa-Mir-154-P27_pri
63,19,1,-36.8,1,33,3,0.86,0,33,0,4,63,mapped_mirna_ERR038410:miRCluster_364_22:chr14:101054316_101054337+,14,101054316,101054337,True,ERR038410,Hsa-Mir-154-P10_pri
64,17,1,-36.1,1,28,4,0.81,0,28,0,6,64,mapped_mirna_ERR038410:miRCluster_366_22:chr14:101054694_101054715+,14,101054694,101054715,True,ERR038410,Hsa-Mir-134_pri
65,19,1,-37.7,1,31,1,0.86,0,31,0,4,65,mapped_mirna_ERR038410:miRCluster_367_24:chr14:101055427_101055450+,14,101055427,101055450,True,ERR038410,Hsa-Mir-154-P15_pri
66,18,1,-36.8,1,31,1,0.82,0,31,0,4,66,mapped_mirna_ERR038410:miRCluster_369_22:chr14:101059769_101059790+,14,101059769,101059790,True,ERR038410,Hsa-Mir-154-P1_pri
67,18,1,-49.1,1,36,8,0.86,0,36,0,6,67,mapped_mirna_ERR038410:miRCluster_378_22:chr14:104117469_104117490+,14,104117469,104117490,True,ERR038410,Hsa-Mir-203-v2_pri
68,17,1,-72.7,1,37,11,1.0,0,37,0,1,68,mapped_mirna_ERR038410:miRCluster_395_23:chr15:70079425_70079447-,15,70079425,70079447,True,ERR038410,Hsa-Mir-629_pri
69,18,1,-35.8,1,31,7,0.82,0,31,0,4,69,mapped_mirna_ERR038410:miRCluster_390_22:chr15:79209840_79209861+,15,79209840,79209861,True,ERR038410,Hsa-Mir-184_pri
70,19,0,-39.8,1,33,3,0.9,1,33,0,4,70,mapped_mirna_ERR038410:miRCluster_398_22:chr16:14303980_14304001+,16,14303980,14304001,True,ERR038410,Hsa-Mir-193-P1a_pri
71,19,0,-39.8,1,33,4,0.86,1,33,0,4,71,mapped_mirna_ERR038410:miRCluster_399_24:chr16:14304017_14304040+,16,14304017,14304040,True,ERR038410,Hsa-Mir-193-P1a_pri
72,21,0,-40.5,2,36,1,0.95,1,36,0,3,72,mapped_mirna_ERR038410:miRCluster_400_24:chr16:14309300_14309323+,16,14309300,14309323,True,ERR038410,Hsa-Mir-193-P2a_pri
73,14,0,-40.5,2,36,-29,0.64,1,36,0,3,73,mapped_mirna_ERR038410:miRCluster_401_23:chr16:14309340_14309362+,16,14309340,14309362,True,ERR038410,Hsa-Mir-193-P2a_pri
74,19,1,-50.9,1,38,8,0.9,0,38,0,6,74,mapped_mirna_ERR038410:miRCluster_405_25:chr16:69933142_69933166+,16,69933142,69933166,True,ERR038410,Hsa-Mir-140-P1-v1_pri
75,21,0,-40.6,1,34,4,0.95,1,34,0,5,75,mapped_mirna_ERR038410:miRCluster_425_23:chr17:1713913_1713935-,17,1713913,1713935,True,ERR038410,Hsa-Mir-22-P1b_pri
76,20,0,-40.6,1,34,4,0.95,1,34,0,5,76,mapped_mirna_ERR038410:miRCluster_426_22:chr17:1713952_1713973-,17,1713952,1713973,True,ERR038410,Hsa-Mir-22-P1b_pri
77,20,1,-46.3,1,32,4,0.91,0,32,0,5,77,mapped_mirna_ERR038410:miRCluster_428_23:chr17:7017665_7017687-,17,7017665,7017687,True,ERR038410,Hsa-Mir-15-P2d_pri
78,17,1,-43.6,1,33,5,0.81,0,33,0,6,78,mapped_mirna_ERR038410:miRCluster_429_23:chr17:7017977_7017999-,17,7017977,7017999,True,ERR038410,Hsa-Mir-15-P1d_pri
79,18,1,-41.1,1,36,17,0.82,0,36,0,6,79,mapped_mirna_ERR038410:miRCluster_411_23:chr17:12081909_12081931+,17,12081909,12081931,True,ERR038410,Hsa-Mir-744_pri
80,17,1,-42.8,1,30,-4,0.77,0,30,0,2,80,mapped_mirna_ERR038410:miRCluster_432_25:chr17:28861400_28861424-,17,28861400,28861424,True,ERR038410,Hsa-Mir-451_pri
81,19,0,-45.0,1,34,6,0.95,1,34,0,5,81,mapped_mirna_ERR038410:miRCluster_433_21:chr17:28861547_28861567-,17,28861547,28861567,True,ERR038410,Hsa-Mir-144-v2_pri
82,18,0,-45.0,1,34,5,0.9,1,34,0,5,82,mapped_mirna_ERR038410:miRCluster_434_24:chr17:28861581_28861604-,17,28861581,28861604,True,ERR038410,Hsa-Mir-144-v2_pri
83,19,0,-48.8,1,31,1,0.83,1,31,0,4,83,mapped_mirna_ERR038410:miRCluster_413_24:chr17:30117095_30117118+,17,30117095,30117118,True,ERR038410,Hsa-Mir-423_pri
84,19,0,-48.8,1,31,3,0.83,1,31,0,4,84,mapped_mirna_ERR038410:miRCluster_414_24:chr17:30117130_30117153+,17,30117130,30117153,True,ERR038410,Hsa-Mir-423_pri
85,18,0,-50.2,1,30,0,0.82,1,30,0,5,85,mapped_mirna_ERR038410:miRCluster_415_22:chr17:31560016_31560037+,17,31560016,31560037,True,ERR038410,Hsa-Mir-193-P1b_pri
86,17,0,-50.2,1,30,2,0.81,1,30,0,5,86,mapped_mirna_ERR038410:miRCluster_416_22:chr17:31560050_31560071+,17,31560050,31560071,True,ERR038410,Hsa-Mir-193-P1b_pri
87,17,1,-37.4,1,34,10,0.77,0,34,0,6,87,mapped_mirna_ERR038410:miRCluster_418_23:chr17:31575478_31575500+,17,31575478,31575500,True,ERR038410,Hsa-Mir-193-P2b_pri
88,19,1,-47.2,1,33,5,0.9,0,33,0,6,88,mapped_mirna_ERR038410:miRCluster_437_22:chr17:48037173_48037194-,17,48037173,48037194,True,ERR038410,Hsa-Mir-148-P3_pri
89,19,1,-33.5,1,31,1,0.86,0,31,0,4,89,mapped_mirna_ERR038410:miRCluster_439_25:chr17:48579903_48579927-,17,48579903,48579927,True,ERR038410,Hsa-Mir-10-P1c-v1_pri
90,20,0,-44.2,1,34,3,0.95,1,34,0,4,90,mapped_mirna_ERR038410:miRCluster_440_22:chr17:58331245_58331266-,17,58331245,58331266,True,ERR038410,Hsa-Mir-142-P1-v4_pri
91,17,0,-44.2,1,34,12,0.94,1,34,0,4,91,mapped_mirna_ERR038410:miRCluster_441_25:chr17:58331281_58331305-,17,58331281,58331305,True,ERR038410,Hsa-Mir-142-P1-v4_pri
92,19,1,-40.7,1,37,8,0.9,0,37,0,5,92,mapped_mirna_ERR038410:miRCluster_420_25:chr17:59841272_59841296+,17,59841272,59841296,True,ERR038410,Hsa-Mir-21_pri
93,21,1,-35.6,1,32,2,0.95,0,32,0,2,93,mapped_mirna_ERR038410:miRCluster_454_23:chr18:21829014_21829036-,18,21829014,21829036,True,ERR038410,Hsa-Mir-1-P1_pri
94,18,1,-45.7,1,32,1,0.86,0,32,0,3,94,mapped_mirna_ERR038410:miRCluster_452_27:chr18:58451086_58451112+,18,58451086,58451112,True,ERR038410,Hsa-Mir-122_pri
95,18,1,-45.7,1,32,2,0.86,0,32,0,3,95,mapped_mirna_ERR038410:miRCluster_453_23:chr18:58451123_58451145+,18,58451123,58451145,True,ERR038410,Hsa-Mir-122_pri
96,18,0,-42.4,1,33,10,0.86,1,33,0,7,96,mapped_mirna_ERR038410:miRCluster_471_24:chr19:10817428_10817451-,19,10817428,10817451,True,ERR038410,Hsa-Mir-199-P3-v1_pri
97,18,0,-42.4,1,33,6,0.82,1,33,0,7,97,mapped_mirna_ERR038410:miRCluster_472_23:chr19:10817469_10817491-,19,10817469,10817491,True,ERR038410,Hsa-Mir-199-P3-v1_pri
98,17,1,-38.1,1,30,4,0.77,0,30,0,7,98,mapped_mirna_ERR038410:miRCluster_474_23:chr19:13836288_13836310-,19,13836288,13836310,True,ERR038410,Hsa-Mir-24-P3_pri
99,18,1,-47.9,1,32,5,1.0,0,32,0,5,99,mapped_mirna_ERR038410:miRCluster_476_21:chr19:13836447_13836467-,19,13836447,13836467,True,ERR038410,Hsa-Mir-27-P3_pri
100,15,1,-35.7,1,29,3,0.83,0,29,0,6,100,mapped_mirna_ERR038410:miRCluster_477_24:chr19:13836593_13836616-,19,13836593,13836616,True,ERR038410,Hsa-Mir-23-P3_pri
101,17,1,-40.3,1,31,8,0.77,0,31,0,4,101,mapped_mirna_ERR038410:miRCluster_462_24:chr19:13874910_13874933+,19,13874910,13874933,True,ERR038410,Hsa-Mir-181-P2c_pri
102,17,1,-44.2,1,31,3,0.81,0,31,0,6,102,mapped_mirna_ERR038410:miRCluster_479_24:chr19:45639008_45639031-,19,45639008,45639031,True,ERR038410,Hsa-Mir-330-v1_pri
103,14,0,-27.4,2,23,2,0.67,1,23,0,4,103,mapped_mirna_ERR038410:miRCluster_466_23:chr19:51692618_51692640+,19,51692618,51692640,True,ERR038410,Hsa-Mir-10-P2b_pri
104,15,0,-40.5,1,32,7,0.68,1,32,0,5,104,mapped_mirna_ERR038410:miRCluster_467_23:chr19:51692656_51692678+,19,51692656,51692678,True,ERR038410,Hsa-Mir-10-P2b_pri
105,19,1,-45.8,1,32,8,0.9,0,32,0,6,105,mapped_mirna_ERR038410:miRCluster_468_25:chr19:51692792_51692816+,19,51692792,51692816,True,ERR038410,Hsa-Let-7-P1b_pri
106,18,1,-44.2,1,32,4,0.82,0,32,0,5,106,mapped_mirna_ERR038410:miRCluster_469_24:chr19:51693268_51693291+,19,51693268,51693291,True,ERR038410,Hsa-Mir-10-P3b_pri
107,17,1,-27.3,1,27,3,0.77,0,27,0,5,107,mapped_mirna_ERR038410:miRCluster_74_23:chr2:55983021_55983043-,2,55983021,55983043,True,ERR038410,Hsa-Mir-217-v2_pri
108,19,1,-35.8,1,32,1,0.86,0,32,0,4,108,mapped_mirna_ERR038410:miRCluster_68_22:chr2:176150329_176150350+,2,176150329,176150350,True,ERR038410,Hsa-Mir-10-P1b-v1_pri
109,19,1,-42.0,1,31,1,0.86,0,31,0,5,109,mapped_mirna_ERR038410:miRCluster_70_24:chr2:218402657_218402680+,2,218402657,218402680,True,ERR038410,Hsa-Mir-26-P2_pri
110,17,1,-45.7,1,29,3,0.81,0,29,0,6,110,mapped_mirna_ERR038410:miRCluster_89_23:chr2:219001648_219001670-,2,219001648,219001670,True,ERR038410,Hsa-Mir-375_pri
111,17,1,-31.5,1,32,7,0.81,0,32,0,6,111,mapped_mirna_ERR038410:miRCluster_484_26:chr20:3917540_3917565+,20,3917540,3917565,True,ERR038410,Hsa-Mir-103-P2_pri
112,18,1,-44.9,1,30,1,0.86,0,30,0,4,112,mapped_mirna_ERR038410:miRCluster_486_22:chr20:34990408_34990429+,20,34990408,34990429,True,ERR038410,Hsa-Mir-499_pri
113,20,1,-40.0,1,35,8,0.91,0,35,0,4,113,mapped_mirna_ERR038410:miRCluster_488_22:chr20:62554351_62554372+,20,62554351,62554372,True,ERR038410,Hsa-Mir-1-P3_pri
114,17,0,-46.8,1,36,4,0.81,1,36,0,5,114,mapped_mirna_ERR038410:miRCluster_490_23:chr21:16539100_16539122+,21,16539100,16539122,True,ERR038410,Hsa-Mir-10-P2c_pri
115,18,0,-44.5,1,34,4,0.82,1,34,0,5,115,mapped_mirna_ERR038410:miRCluster_491_23:chr21:16539138_16539160+,21,16539138,16539160,True,ERR038410,Hsa-Mir-10-P2c_pri
116,19,1,-41.2,1,37,10,0.86,0,37,0,7,116,mapped_mirna_ERR038410:miRCluster_492_25:chr21:16539837_16539861+,21,16539837,16539861,True,ERR038410,Hsa-Let-7-P1c_pri
117,19,1,-35.8,1,32,3,0.86,0,32,0,7,117,mapped_mirna_ERR038410:miRCluster_493_22:chr21:16590253_16590274+,21,16590253,16590274,True,ERR038410,Hsa-Mir-10-P3c_pri
118,19,1,-51.7,1,33,3,0.86,0,33,0,4,118,mapped_mirna_ERR038410:miRCluster_501_23:chr22:20033153_20033175+,22,20033153,20033175,True,ERR038410,Hsa-Mir-185_pri
119,17,1,-40.5,1,34,8,0.77,0,34,0,7,119,mapped_mirna_ERR038410:miRCluster_504_22:chr22:21653354_21653375+,22,21653354,21653375,True,ERR038410,Hsa-Mir-130-P4a_pri
120,16,0,-54.4,1,34,10,0.8,1,34,0,3,120,mapped_mirna_ERR038410:miRCluster_507_22:chr22:41900949_41900970+,22,41900949,41900970,True,ERR038410,Hsa-Mir-33-P3_pri
121,15,0,-54.4,1,34,7,0.79,1,34,0,3,121,mapped_mirna_ERR038410:miRCluster_508_21:chr22:41900989_41901009+,22,41900989,41901009,True,ERR038410,Hsa-Mir-33-P3_pri
122,21,1,-46.1,1,40,6,0.95,0,40,0,4,122,mapped_mirna_ERR038410:miRCluster_509_23:chr22:46112752_46112774+,22,46112752,46112774,True,ERR038410,Hsa-Let-7-P2a2_pri
123,20,1,-57.9,1,40,10,0.95,0,40,0,5,123,mapped_mirna_ERR038410:miRCluster_510_24:chr22:46113691_46113714+,22,46113691,46113714,True,ERR038410,Hsa-Let-7-P2b2_pri
124,20,1,-47.8,1,33,0,0.91,0,33,0,4,124,mapped_mirna_ERR038410:miRCluster_94_24:chr3:37969413_37969436+,3,37969413,37969436,True,ERR038410,Hsa-Mir-26-P1_pri
125,16,0,-36.1,1,29,2,0.8,1,29,0,6,125,mapped_mirna_ERR038410:miRCluster_116_22:chr3:49020160_49020181-,3,49020160,49020181,True,ERR038410,Hsa-Mir-425_pri
126,14,0,-36.1,1,29,5,0.64,1,29,0,6,126,mapped_mirna_ERR038410:miRCluster_117_24:chr3:49020198_49020221-,3,49020198,49020221,True,ERR038410,Hsa-Mir-425_pri
127,17,1,-46.8,1,33,5,0.77,0,33,0,6,127,mapped_mirna_ERR038410:miRCluster_118_25:chr3:49020670_49020694-,3,49020670,49020694,True,ERR038410,Hsa-Mir-191_pri
128,20,1,-50.5,1,42,17,0.91,0,42,0,8,128,mapped_mirna_ERR038410:miRCluster_119_25:chr3:52268334_52268358-,3,52268334,52268358,True,ERR038410,Hsa-Let-7-P2c3_pri
129,16,1,-28.2,1,31,6,0.8,0,31,0,6,129,mapped_mirna_ERR038410:miRCluster_101_23:chr3:160404607_160404629+,3,160404607,160404629,True,ERR038410,Hsa-Mir-15-P1b_pri
130,18,1,-35.9,1,29,1,0.82,0,29,0,4,130,mapped_mirna_ERR038410:miRCluster_103_24:chr3:160404754_160404777+,3,160404754,160404777,True,ERR038410,Hsa-Mir-15-P2b_pri
131,20,1,-57.0,1,34,4,0.95,0,34,0,3,131,mapped_mirna_ERR038410:miRCluster_125_22:chr4:38868092_38868113+,4,38868092,38868113,True,ERR038410,Hsa-Mir-574_pri
132,18,0,-42.6,1,29,2,0.86,1,29,0,5,132,mapped_mirna_ERR038410:miRCluster_147_24:chr5:149428944_149428967+,5,149428944,149428967,True,ERR038410,Hsa-Mir-143_pri
