,count_bindings_in_miRNA,exactMatchRatio,pair_state_No,mFE,head_minus3_TemplateNucleotide_percentage,hairpin_count,stem_length,distanceToloop,percentage_PairedInMiRNA,headUnstableLength,pair_state_Yes,tail_plus2_A_percentage,head_minus2_TemplateNucleotide_percentage,binding_count,tail_plus1_A_percentage,armType_loop,tail_plus3_A_percentage,tail_plus5_TemplateNucleotide_percentage,tail_plus1_TemplateNucleotide_percentage,interiorLoopCount,head_minus1_TemplateNucleotide_percentage,index,clusterName,chrom,start,end,miRNA,sample,annotation,ann_start,ann_end
9254,0,1.0,0,-7.3,1.0,1,9,-21,0.0,6,1,0.0,1.0,9,0.0,0,0.0,0.0,1.0,1,1.0,9254,mapped_nonMirna_SRR1635908:miRCluster_4143_26:chr2:219421408_219421433+,2,219421408,219421433,False,SRR1635908,,219421000,219422000
15472,8,0.722222222222,1,-7.9,0.0,1,9,1,0.5,1,0,0.0,0.0,9,0.0,0,0.0,0.0,0.0,0,1.0,15472,mapped_nonMirna_SRR372648:miRCluster_2369_17:chr6:144723312_144723328-,6,144723312,144723328,False,SRR372648,,144723000,144724000
8590,13,0.012443438914,1,-22.9,0.0,1,20,2,0.76,2,0,0.0,1.0,20,0.0,0,0.0,0.0,1.0,2,0.0628571428571,8590,mapped_nonMirna_SRR1635908:miRCluster_16142_20:chr11:1469967_1469986-,11,1469967,1469986,False,SRR1635908,,1469000,1471000
6933,13,0.133333333333,1,-19.3,0.0,1,20,3,0.87,0,0,0.0,0.0,20,0.0,0,0.0,1.0,1.0,3,0.0,6933,mapped_nonMirna_SRR1635903:miRCluster_30727_25:chr11:49434364_49434388-,11,49434364,49434388,False,SRR1635903,,49434000,49435000
13927,12,0.000858369098712,1,-29.9,0.0,2,29,18,0.71,2,0,0.00295420974889,0.0,29,0.0,0,0.0,0.0,0.998850574713,5,0.997566909976,13927,mapped_nonMirna_SRR333674:miRCluster_24554_18:chrX:51769039_51769056-,X,51769039,51769056,False,SRR333674,,51768000,51770000
4347,15,0.8,1,-35.3,0.0,1,27,0,0.94,1,0,0.0,0.0,27,0.0,0,0.0,0.0,0.0,3,0.714285714286,4347,mapped_nonMirna_ERR973611:miRCluster_20737_17:chr21:31664418_31664434+,21,31664418,31664434,False,ERR973611,,31664000,31665000
6926,12,1.0,0,-32.1,1.0,2,32,15,0.71,7,1,0.0,1.0,32,0.0,0,0.0,1.0,1.0,4,1.0,6926,mapped_nonMirna_SRR1635903:miRCluster_30535_30:chr11:35292418_35292447-,11,35292418,35292447,False,SRR1635903,,35292000,35293000
9399,14,0.0880829015544,1,-17.8,1.0,1,25,3,0.82,3,0,0.0,0.866071428571,25,0.896296296296,0,0.0,0.0,0.191616766467,5,0.679245283019,9399,mapped_nonMirna_SRR1635908:miRCluster_7073_22:chr3:125344551_125344572-,3,125344551,125344572,False,SRR1635908,,125344000,125345000
20868,15,0.0168661588683,1,-21.7,0.0,1,32,11,0.94,2,0,0.0,0.0,32,0.0,0,0.0,0.0,0.997326203209,7,0.998156682028,20868,mapped_nonMirna_SRR837839:miRCluster_10669_18:chr13:96088767_96088784-,13,96088767,96088784,False,SRR837839,,96088000,96089000
21112,8,0.0294117647059,1,-24.2,0.0,2,25,-6,0.53,3,0,0.0,1.0,25,0.00934579439252,0,0.0,0.0,0.0138248847926,3,1.0,21112,mapped_nonMirna_SRR837839:miRCluster_2448_17:chr2:75044694_75044710-,2,75044694,75044710,False,SRR837839,,75044000,75045000
8094,13,1.0,1,-18.9,0.0,1,18,-6,0.65,1,0,0.0,0.0,18,0.0,1,0.0,0.0,1.0,3,1.0,8094,mapped_nonMirna_SRR1635903:miRCluster_24840_25:chr9:130880076_130880100+,9,130880076,130880100,False,SRR1635903,,130879000,130881000
7688,10,0.774193548387,1,-13.2,1.0,2,14,-3,0.62,6,0,0.0,1.0,14,0.714285714286,0,0.0,1.0,0.774193548387,1,0.827586206897,7688,mapped_nonMirna_SRR1635903:miRCluster_11220_27:chr3:42804444_42804470-,3,42804444,42804470,False,SRR1635903,,42804000,42805000
10615,8,0.015625,1,-15.3,0.0,1,15,-5,0.53,2,0,0.0,1.0,15,1.0,1,0.0,0.0,0.0,3,1.0,10615,mapped_nonMirna_SRR2174513:miRCluster_389_17:chr1:76254461_76254477+,1,76254461,76254477,False,SRR2174513,,76254000,76255000
23356,12,0.0384615384615,1,-26.1,1.0,1,20,-2,0.75,3,0,0.0,1.0,20,0.0,0,0.0,0.0,0.0,4,0.153846153846,23356,mapped_nonMirna_SRR944031:miRCluster_1679_19:chr2:86106306_86106324+,2,86106306,86106324,False,SRR944031,,86106000,86107000
11928,7,0.25,1,-27.2,1.0,2,24,-4,0.64,3,0,0.0,0.5,24,0.0,0,0.666666666667,1.0,1.0,1,0.5,11928,mapped_nonMirna_SRR2174517:miRCluster_3437_20:chr4:88246986_88247005+,4,88246986,88247005,False,SRR2174517,,88246000,88248000
5092,6,0.380952380952,1,-12.4,1.0,1,13,1,0.5,4,0,0.0,1.0,13,0.0,0,0.0,1.0,1.0,1,0.380952380952,5092,mapped_nonMirna_ERR973613:miRCluster_11646_24:chr11:75404148_75404171+,11,75404148,75404171,False,ERR973613,,75403000,75405000
8726,10,0.0703125,1,-48.4,0.0,2,31,-1,0.71,1,0,0.0,0.0,31,0.0,0,0.0,1.0,0.8671875,6,0.0,8726,mapped_nonMirna_SRR1635908:miRCluster_18477_23:chr12:132687274_132687296-,12,132687274,132687296,False,SRR1635908,,132687000,132688000
6900,13,0.509090909091,1,-53.4,0.0,2,32,-21,0.93,2,0,0.0,1.0,32,0.0,0,0.0,1.0,0.509090909091,6,0.509090909091,6900,mapped_nonMirna_SRR1635903:miRCluster_27156_21:chr10:103367992_103368012+,10,103367992,103368012,False,SRR1635903,,103367000,103369000
8928,11,0.421052631579,1,-33.3,0.0,1,29,13,0.61,1,0,0.0,0.0,29,0.0,0,0.0,0.0,0.59375,5,1.0,8928,mapped_nonMirna_SRR1635908:miRCluster_22264_22:chr17:4940292_4940313+,17,4940292,4940313,False,SRR1635908,,4940000,4941000
16107,12,0.970588235294,1,-22.0,0.0,1,26,10,0.75,1,0,0.0,0.0,26,0.0,0,0.0,0.0,1.0,6,1.0,16107,mapped_nonMirna_SRR372650:miRCluster_469_18:chr2:42845849_42845866+,2,42845849,42845866,False,SRR372650,,42845000,42847000
18378,8,1.0,1,-5.8,1.0,1,9,1,0.36,3,0,0.0,1.0,9,0.0,0,0.0,0.0,1.0,1,1.0,18378,mapped_nonMirna_SRR553576:miRCluster_3701_28:chr3:51403258_51403285-,3,51403258,51403285,False,SRR553576,,51403000,51404000
11707,3,0.09375,1,-5.2,1.0,1,15,27,0.21,7,0,0.0,0.166666666667,15,0.0,0,0.0,0.0,0.176470588235,5,1.0,11707,mapped_nonMirna_SRR2174517:miRCluster_9535_25:chr14:101836328_101836352+,14,101836328,101836352,False,SRR2174517,,101836000,101837000
22782,6,0.0461538461538,1,-13.3,0.0,2,20,6,0.43,3,0,0.0,1.0,20,1.0,0,0.0,0.0,0.0,1,1.0,22782,mapped_nonMirna_SRR837842:miRCluster_6118_16:chr9:82111366_82111381+,9,82111366,82111381,False,SRR837842,,82111000,82112000
18030,12,0.00923787528868,1,-13.6,1.0,1,16,-4,0.71,3,0,0.0,0.171428571429,16,0.0,0,0.0,0.666666666667,1.0,3,1.0,18030,mapped_nonMirna_SRR553576:miRCluster_1116_25:chr1:31644387_31644411-,1,31644387,31644411,False,SRR553576,,31644000,31645000
1993,11,0.338311019567,1,-11.8,0.0,1,19,-1,0.73,2,0,0.0483870967742,0.0,19,0.315646258503,0,0.0,0.0,0.0290620871863,3,1.0,1993,mapped_nonMirna_ERR409900:miRCluster_5245_17:chr2:167689021_167689037+,2,167689021,167689037,False,ERR409900,,167688000,167690000
10825,10,0.224489795918,0,-24.7,0.0,1,21,-4,0.67,1,1,1.0,0.0,21,0.0,0,0.0,1.0,1.0,2,0.0,10825,mapped_nonMirna_SRR2174513:miRCluster_11723_23:chr19:17862668_17862690+,19,17862668,17862690,False,SRR2174513,,17862000,17863000
7652,10,0.112068965517,1,-27.9,0.942857142857,1,18,1,0.83,5,0,0.0,0.923076923077,18,0.0,0,0.0,0.298245614035,0.958762886598,4,0.696428571429,7652,mapped_nonMirna_SRR1635903:miRCluster_54718_26:chr22:41381997_41382022+,22,41381997,41382022,False,SRR1635903,,41381000,41383000
8643,12,0.1328125,1,-17.7,0.0,2,17,-30,0.63,0,0,0.0,0.0,17,0.0869565217391,0,0.0,1.0,0.269841269841,2,0.0,8643,mapped_nonMirna_SRR1635908:miRCluster_15857_24:chr11:73396103_73396126+,11,73396103,73396126,False,SRR1635908,,73395000,73397000
810,9,0.228571428571,1,-18.9,0.0,1,17,-5,0.53,1,0,0.0,0.0,17,0.0,1,1.0,0.0,0.0,4,0.0,810,mapped_nonMirna_ERR038420:miRCluster_271_17:chr1:242890754_242890770-,1,242890754,242890770,False,ERR038420,,242890000,242891000
23414,12,1.0,1,-2.8,1.0,2,7,-11,0.6,6,0,0.0,1.0,7,0.0,1,0.0,0.0,0.0,0,1.0,23414,mapped_nonMirna_SRR944031:miRCluster_6485_26:chr8:98042665_98042690-,8,98042665,98042690,False,SRR944031,,98042000,98043000
12613,13,0.0355329949239,1,-31.2,0.0,1,24,0,0.81,0,0,0.0,0.0,24,0.0,0,0.0,0.0,0.0,5,0.0,12613,mapped_nonMirna_SRR333658:miRCluster_26019_16:chr13:99895787_99895802+,13,99895787,99895802,False,SRR333658,,99895000,99897000
13716,9,0.00484261501211,1,-5.5,0.0,2,10,-9,0.56,0,0,0.0,0.0,10,0.0,1,0.0,0.0,0.0106382978723,1,0.0,13716,mapped_nonMirna_SRR333674:miRCluster_23400_16:chr21:43517921_43517936-,21,43517921,43517936,False,SRR333674,,43517000,43519000
8615,10,0.0272727272727,1,-33.6,0.0,1,22,6,0.67,1,0,0.0,0.0,22,0.0,0,0.0,0.15,1.0,6,0.488888888889,8615,mapped_nonMirna_SRR1635908:miRCluster_16411_22:chr11:61917418_61917439-,11,61917418,61917439,False,SRR1635908,,61917000,61918000
15968,3,0.00766283524904,1,-7.6,0.0,2,6,-27,0.2,2,0,0.0,0.0,6,0.0,0,0.0,0.0,1.0,0,1.0,15968,mapped_nonMirna_SRR372650:miRCluster_173_17:chr1:205750019_205750035+,1,205750019,205750035,False,SRR372650,,205749000,205751000
9390,13,0.0332594235033,1,-34.3,0.888888888889,3,32,-21,0.87,3,0,0.0,0.877697841727,32,0.0488372093023,0,0.100346020761,0.0,0.0337078651685,3,0.0902612826603,9390,mapped_nonMirna_SRR1635908:miRCluster_6229_20:chr3:52522614_52522633+,3,52522614,52522633,False,SRR1635908,,52522000,52523000
9425,15,0.925925925926,1,-25.5,0.0,3,21,-26,0.79,0,0,0.0,0.0,21,0.0,0,0.0,0.0,0.882352941176,3,0.0,9425,mapped_nonMirna_SRR1635908:miRCluster_6547_20:chr3:186570735_186570754+,3,186570735,186570754,False,SRR1635908,,186570000,186571000
2771,10,0.333333333333,1,-12.5,0.0,1,14,-4,0.59,1,0,0.0,0.0,14,0.0,0,0.0,0.0,0.0,1,0.0,2771,mapped_nonMirna_ERR852097:miRCluster_1350_17:chr6:115668721_115668737+,6,115668721,115668737,False,ERR852097,,115668000,115669000
8584,13,1.0,1,-26.6,1.0,3,26,-27,0.76,3,0,0.0,1.0,26,0.0,0,0.0,1.0,1.0,4,1.0,8584,mapped_nonMirna_SRR1635908:miRCluster_15217_25:chr11:810276_810300+,11,810276,810300,False,SRR1635908,,810000,811000
4358,10,0.844444444444,1,-12.9,0.0,1,14,-15,0.62,0,0,0.0,0.0,14,0.0,1,0.0,1.0,0.888888888889,2,0.0,4358,mapped_nonMirna_ERR973611:miRCluster_21399_23:chr22:39315282_39315304-,22,39315282,39315304,False,ERR973611,,39315000,39316000
15479,13,0.0227272727273,1,-29.7,0.0,1,24,0,0.81,0,0,0.0,0.0,24,0.0,0,0.0,0.0,0.0,5,0.0,15479,mapped_nonMirna_SRR372648:miRCluster_2447_16:chr7:73434236_73434251+,7,73434236,73434251,False,SRR372648,,73434000,73435000
819,12,1.0,1,-6.4,0.0,1,10,-20,0.52,0,0,0.0,0.0,10,0.0,1,0.0,0.0,1.0,2,0.0,819,mapped_nonMirna_ERR038420:miRCluster_1284_25:chr11:75404421_75404445+,11,75404421,75404445,False,ERR038420,,75404000,75405000
4502,9,0.0287769784173,1,-21.0,0.0,2,23,-7,0.53,3,0,0.0,1.0,23,0.0,0,0.0,0.0,0.0,4,1.0,4502,mapped_nonMirna_ERR973611:miRCluster_9408_19:chr8:71192182_71192200+,8,71192182,71192200,False,ERR973611,,71191000,71193000
1773,8,1.0,1,-7.4,1.0,1,16,-10,0.4,5,0,0.0,1.0,16,0.0,0,0.0,0.0,0.0,3,1.0,1773,mapped_nonMirna_ERR409900:miRCluster_23105_25:chr11:35251907_35251931-,11,35251907,35251931,False,ERR409900,,35251000,35253000
11643,11,0.307692307692,1,-20.0,0.0,1,20,-6,0.73,2,0,0.0,0.0,20,0.0,1,0.0,0.0,0.0,5,0.615384615385,11643,mapped_nonMirna_SRR2174517:miRCluster_8069_16:chr11:62533774_62533789-,11,62533774,62533789,False,SRR2174517,,62533000,62534000
10803,4,0.0254237288136,1,-11.0,0.0,2,9,-1,0.27,1,0,0.87037037037,0.0,9,0.45,0,0.0,0.0,0.938650306748,1,0.0,10803,mapped_nonMirna_SRR2174513:miRCluster_10836_16:chr17:79797099_79797114+,17,79797099,79797114,False,SRR2174513,,79796000,79798000
13904,11,0.08,1,-13.1,0.0,2,16,-4,0.73,2,0,1.0,1.0,16,0.0,0,0.0,0.0,1.0,1,0.181818181818,13904,mapped_nonMirna_SRR333674:miRCluster_12573_20:chr9:125019143_125019162-,9,125019143,125019162,False,SRR333674,,125018000,125020000
16118,10,0.24772400575,1,-16.7,0.0,2,20,4,0.56,0,0,0.0,0.0,20,0.00480769230769,0,1.0,0.102479338843,0.75296912114,1,0.0,16118,mapped_nonMirna_SRR372650:miRCluster_708_20:chr2:177042396_177042415-,2,177042396,177042415,False,SRR372650,,177042000,177043000
20823,7,0.00990099009901,1,-31.4,1.0,3,23,-17,0.58,6,0,0.125,0.710227272727,23,0.716494845361,0,0.0,0.0,0.0102040816327,4,0.0891089108911,20823,mapped_nonMirna_SRR837839:miRCluster_9624_17:chr12:49333283_49333299+,12,49333283,49333299,False,SRR837839,,49333000,49334000
9045,4,0.111111111111,1,-4.8,1.0,2,7,-2,0.29,4,0,0.0,1.0,7,0.0,0,0.0,0.0,0.0,1,0.451612903226,9045,mapped_nonMirna_SRR1635908:miRCluster_24761_17:chr19:1490891_1490907+,19,1490891,1490907,False,SRR1635908,,1490000,1492000
9641,5,0.297872340426,1,-14.6,1.0,1,13,-4,0.36,5,0,0.0,1.0,13,0.0,0,0.0,0.0,0.531914893617,2,0.363636363636,9641,mapped_nonMirna_SRR1635908:miRCluster_12281_20:chr8:99013307_99013326+,8,99013307,99013326,False,SRR1635908,,99013000,99014000
11039,9,0.00449775112444,1,-24.1,0.925170068027,1,19,-2,0.64,4,0,0.0,0.357142857143,19,0.022,0,0.0,0.0,0.229583975347,7,0.252173913043,11039,mapped_nonMirna_SRR2174513:miRCluster_5774_17:chr7:149497575_149497591-,7,149497575,149497591,False,SRR2174513,,149497000,149498000
12534,14,0.0579710144928,1,-33.6,0.0,1,29,6,0.74,1,0,1.0,0.0,29,0.0,0,0.0,0.0,0.0,4,0.117647058824,12534,mapped_nonMirna_SRR333658:miRCluster_22661_20:chr11:60891108_60891127-,11,60891108,60891127,False,SRR333658,,60890000,60892000
14690,15,1.0,1,-33.4,1.0,1,26,-2,0.83,6,0,0.0,1.0,26,0.0,0,0.0,1.0,1.0,6,1.0,14690,mapped_nonMirna_SRR333680:miRCluster_4870_29:chr3:185418793_185418821-,3,185418793,185418821,False,SRR333680,,185418000,185420000
8628,14,0.129994372538,1,-37.9,0.0,1,27,8,0.78,2,0,0.152542372881,0.0,27,0.0,0,0.4375,0.0,0.00343938091144,9,0.384615384615,8628,mapped_nonMirna_SRR1635908:miRCluster_15698_19:chr11:65585109_65585127+,11,65585109,65585127,False,SRR1635908,,65584000,65586000
4217,12,0.0384615384615,1,-63.8,1.0,1,33,11,0.92,4,0,0.0,0.619047619048,33,0.0,0,0.368421052632,0.0,0.05,6,0.377777777778,4217,mapped_nonMirna_ERR973611:miRCluster_17176_18:chr17:4499019_4499036+,17,4499019,4499036,False,ERR973611,,4498000,4500000
5846,12,1.0,1,-24.6,0.0,1,20,-7,0.67,1,0,0.0,0.0,20,0.0,1,0.0,0.0,1.0,4,1.0,5846,mapped_nonMirna_SRR1291267:miRCluster_2298_22:chr6:31959189_31959210+,6,31959189,31959210,False,SRR1291267,,31958000,31960000
9165,10,0.0377358490566,1,-29.4,0.0,1,32,19,0.62,1,0,1.0,0.0,32,0.0,0,0.0,0.0,0.0,5,0.0,9165,mapped_nonMirna_SRR1635908:miRCluster_3457_16:chr2:28678118_28678133+,2,28678118,28678133,False,SRR1635908,,28677000,28679000
22816,12,0.0141843971631,1,-15.1,0.0,1,25,9,0.86,3,0,0.0,1.0,25,0.0,0,0.0,0.0,1.0,5,1.0,22816,mapped_nonMirna_SRR837842:miRCluster_12810_16:chrX:74222181_74222196-,X,74222181,74222196,False,SRR837842,,74221000,74223000
7254,7,0.0816326530612,1,-19.1,0.5,1,22,10,0.41,3,0,0.0,1.0,22,0.0,0,0.0,0.0,0.0,4,0.183673469388,7254,mapped_nonMirna_SRR1635903:miRCluster_43242_20:chr17:38255662_38255681+,17,38255662,38255681,False,SRR1635903,,38255000,38256000
4142,14,0.000977835723598,1,-26.5,0.0,1,32,13,0.93,1,0,1.0,0.0,32,0.0,0,0.0,0.0,0.00135135135135,8,0.0,4142,mapped_nonMirna_ERR973611:miRCluster_14251_16:chr13:103136955_103136970+,13,103136955,103136970,False,ERR973611,,103136000,103138000
5765,16,1.0,1,-34.6,0.0,1,29,10,0.8,2,0,0.0,1.0,29,0.0,0,0.0,0.0,1.0,6,1.0,5765,mapped_nonMirna_SRR1291267:miRCluster_4414_24:chr12:95474181_95474204+,12,95474181,95474204,False,SRR1291267,,95473000,95475000
9319,11,0.535714285714,1,-16.0,0.0,1,16,-1,0.61,2,0,0.0,1.0,16,0.0,0,0.0,0.0,0.527777777778,4,0.714285714286,9319,mapped_nonMirna_SRR1635908:miRCluster_28051_23:chr21:36169750_36169772-,21,36169750,36169772,False,SRR1635908,,36169000,36170000
8560,6,0.0442176870748,1,-25.2,0.895348837209,1,16,-4,0.55,10,0,0.0,1.0,16,0.0,0,0.0,0.54435483871,1.0,4,0.278625954198,8560,mapped_nonMirna_SRR1635908:miRCluster_14992_24:chr10:96586874_96586897-,10,96586874,96586897,False,SRR1635908,,96586000,96588000
20828,11,0.0681818181818,1,-8.2,0.0,2,15,-2,0.73,2,0,0.0,1.0,15,0.0,0,0.0,0.0,0.115384615385,3,0.142857142857,20828,mapped_nonMirna_SRR837839:miRCluster_10136_18:chr12:66130717_66130734-,12,66130717,66130734,False,SRR837839,,66130000,66131000
2586,12,0.2,1,-8.2,0.0,2,21,-27,0.71,2,0,1.0,1.0,21,0.0,0,0.0,0.0,1.0,3,1.0,2586,mapped_nonMirna_ERR852097:miRCluster_2154_19:chr10:116604098_116604116+,10,116604098,116604116,False,ERR852097,,116603000,116605000
11043,6,0.0909090909091,1,-2.4,0.0,2,11,-4,0.38,0,0,0.0,0.0,11,0.0,0,0.0,0.0,0.0,1,0.0,11043,mapped_nonMirna_SRR2174513:miRCluster_6058_16:chr8:36495140_36495155-,8,36495140,36495155,False,SRR2174513,,36494000,36496000
